Source_Database_Code,LocationID,LocationName,LocationAbbreviation,LocationNPINumber,LocationAddress,LocationAddress2,LocationCity,LocationState,LocationZip,LocationPhone,LocationFax,LocationType,LocationFDANumber,LocationAlternativeAddress,LocationAlternativeAddress2,LocationAlternativecity,LocationAlternativestate,LocationAlternativezip,tbl_Refresh_Date,LocationPhone_norm,LocationFax_norm,birdeye_review_count,birdeye_avg_rating,birdeye_median_rating,birdeye_one_star_count,birdeye_two_star_count,birdeye_three_star_count,birdeye_four_star_count,birdeye_five_star_count,birdeye_last_review_date,birdeye_first_review_date,birdeye_review_with_comment_count,birdeye_phi_review_count,birdeye_phi_phone_total,birdeye_phi_email_total,birdeye_phi_ssn_total,birdeye_one_star_pct,birdeye_one_or_two_star_pct
GRH,3,GRH Radiology Location 3,GRH03,,9592 HILL WAY,,MACON,GA,31201,,(770)612-5498,Professional,561808,,,,,,2026-05-01,,7706125498,,,,,,,,,,,,,,,,,
RADS,2,RADS Radiology Location 2,RADS02,,6496 LAKE BLVD,,MOUNT JULIET,TN,37122,,(901)655-9862,Professional,,6496 LAKE BLVD,,,TN,,2026-05-01,,9016559862,,,,,,,,,,,,,,,,,
GRH,4,GRH Radiology Location 4,GRH04,1849730190,9066 SPRING RD,,AUGUSTA,GA,30901,,,Professional,301550,9066 SPRING RD,,,GA,30901,2026-05-01,,,,,,,,,,,,,,,,,,,
WRAD,3,WRAD Radiology Location 3,WRAD03,,9335 ELM AVE,,NORTH LAS VEGAS,NV,89030,,(775)559-1770,Facility,,,,NORTH LAS VEGAS,NV,,2026-05-01,,7755591770,,,,,,,,,,,,,,,,,
RADU,9,RADU Radiology Location 9,RADU09,,5798 SUNSET LN,,TAMPA,FL,33601,,,Facility,,5798 SUNSET LN,,TAMPA,,,2026-05-01,,,,,,,,,,,,,,,,,,,
TRI,2,TRI Radiology Location 2,TRI02,,1208 MAPLE AVE,,KNOXVILLE,TN,37902,(615)243-9479,,Global,,,,,,37902,2026-05-01,6152439479,,,,,,,,,,,,,,,,,,
RADE,3,RADE Radiology Location 3,RADE03,1903904187,8940 OAK DR,,JACKSONVILLE,FL,32099,,,Global,235035,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADJ,4,RADJ Radiology Location 4,RADJ04,,2321 CHURCH DR,,TAMPA,FL,33601,,,Global,,2321 CHURCH DR,,,,33601,2026-05-01,,,,,,,,,,,,,,,,,,,
RADH,3,RADH Radiology Location 3,RADH03,,2530 MAPLE DR,,SAN ANTONIO,TX,78201,,,Facility,579333,2530 MAPLE DR,,SAN ANTONIO,,78201,2026-05-01,,,,,,,,,,,,,,,,,,,
SAPA,2,SAPA Radiology Location 2,SAPA02,,7180 SPRING ST,APT 453,DALLAS,TX,75201,(210)248-3413,,Professional,,7180 SPRING ST,,,TX,75201,2026-05-01,2102483413,,,,,,,,,,,,,,,,,,
RADE,4,RADE Radiology Location 4,RADE04,1130431252,5285 HILL CT,,JACKSONVILLE,FL,32099,,,Professional,568945,,,JACKSONVILLE,,32099,2026-05-01,,,,,,,,,,,,,,,,,,,
RADJ,5,RADJ Radiology Location 5,RADJ05,1257894008,7873 PINE RD,APT 309,MIAMI,FL,33101,,,Global,,,,MIAMI,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,10,RADU Radiology Location 10,RADU10,1800960760,352 SCHOOL CT,,JACKSONVILLE,FL,32099,(561)351-7480,(561)292-7190,Professional,,352 SCHOOL CT,,,,,2026-05-01,5613517480,5612927190,,,,,,,,,,,,,,,,,
IAI,4,IAI Radiology Location 4,IAI04,,4466 RIVER LN,,DALLAS,TX,75201,(214)444-9063,,Professional,,4466 RIVER LN,,,,,2026-05-01,2144449063,,59.0,3.92,5.0,8.0,5.0,6.0,5.0,35.0,2026-04-20,2025-12-14,52.0,0.0,0.0,0.0,0.0,13.56,22.03
RADO,5,RADO Radiology Location 5,RADO05,,4270 CHURCH ST,,ST PETE,FL,33701,(561)397-6972,,Global,787458,4270 CHURCH ST,,,,33701,2026-05-01,5613976972,,,,,,,,,,,,,,,,,,
RADA,5,RADA Radiology Location 5,RADA05,1102903874,1552 CHURCH BLVD,APT 95,NASHVILLE,TN,37201,,,Outpatient,,,,NASHVILLE,,,2026-05-01,,,,,,,,,,,,,,,,,,,
ACRB,5,ACRB Radiology Location 5,ACRB05,1973951735,997 PARK LN,APT 365,TOLEDO,OH,43601,,,Professional,,,,TOLEDO,OH,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADI2,2,RADI2 Radiology Location 2,RADI202,1200183430,3083 MAPLE DR,,TOLEDO,OH,43601,(513)345-0571,,Professional,,,,,OH,43601,2026-05-01,5133450571,,,,,,,,,,,,,,,,,,
NRA,2,NRA Radiology Location 2,NRA02,1038979377,2216 MAIN CIR,,MOUNT JULIET,TN,37122,,,Professional,211544,2216 MAIN CIR,,MOUNT JULIET,TN,37122,2026-05-01,,,,,,,,,,,,,,,,,,,
RADY,3,RADY Radiology Location 3,RADY03,,3480 HILL ST,,AKRON,OH,44301,(419)478-1405,(419)211-2997,Professional,,,,,,,2026-05-01,4194781405,4192112997,,,,,,,,,,,,,,,,,
ACR,6,ACR Radiology Location 6,ACR06,,2009 AMANA BLVD,,DAYTON,OH,45401,,,Professional,416079,,,DAYTON,,45401,2026-05-01,,,,,,,,,,,,,,,,,,,
RADR,3,RADR Radiology Location 3,RADR03,1434349247,773 CHURCH CT,APT 422,FRANKLIN,TN,37064,,(865)845-1189,Professional,,,,FRANKLIN,,37064,2026-05-01,,8658451189,,,,,,,,,,,,,,,,,
RADJ,6,RADJ Radiology Location 6,RADJ06,,8011 SCHOOL WAY,,TAMPA,FL,33601,,,Professional,,,,TAMPA,,33601,2026-05-01,,,,,,,,,,,,,,,,,,,
RADR,4,RADR Radiology Location 4,RADR04,,4316 CHURCH BLVD,,NASHVILLE,TN,37201,,,Professional,,4316 CHURCH BLVD,,,TN,37201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADY,4,RADY Radiology Location 4,RADY04,,9678 PARK PL,,DAYTON,OH,45401,(419)442-6632,,Facility,,9678 PARK PL,,,OH,45401,2026-05-01,4194426632,,,,,,,,,,,,,,,,,,
RADC,4,RADC Radiology Location 4,RADC04,1118677366,221 OAK RD,,TOLEDO,OH,43601,(513)949-6410,,Professional,,,,,,43601,2026-05-01,5139496410,,,,,,,,,,,,,,,,,,
RADK,6,RADK Radiology Location 6,RADK06,,4607 ELM PL,,ATHENS,GA,30601,,(478)723-8449,Professional,,,,,GA,,2026-05-01,,4787238449,,,,,,,,,,,,,,,,,
RADS2,5,RADS2 Radiology Location 5,RADS205,1102547345,4828 RIVER WAY,,HOUSTON,TX,77001,(512)556-5845,(512)275-2169,Global,,,,,TX,,2026-05-01,5125565845,5122752169,,,,,,,,,,,,,,,,,
RADN,3,RADN Radiology Location 3,RADN03,,700 HILL BLVD,,TOLEDO,OH,43601,,,Professional,,700 HILL BLVD,,,OH,43601,2026-05-01,,,,,,,,,,,,,,,,,,,
RASFA,3,RASFA Radiology Location 3,RASFA03,,5267 OAK CIR,,AUSTIN,TX,78701,(713)630-9072,,Professional,,5267 OAK CIR,,,TX,78701,2026-05-01,7136309072,,,,,,,,,,,,,,,,,,
RADU,11,RADU Radiology Location 11,RADU11,1524700598,6021 SUNSET CIR,,JACKSONVILLE,FL,32099,,,Professional,,,,,,32099,2026-05-01,,,,,,,,,,,,,,,,,,,
RASFA,4,RASFA Radiology Location 4,RASFA04,,2122 RIVER DR,,FORT WORTH,TX,76101,,(817)331-9635,Global,,,,FORT WORTH,,,2026-05-01,,8173319635,,,,,,,,,,,,,,,,,
RADI2,3,RADI2 Radiology Location 3,RADI203,1240108128,9559 RIVER CIR,,DAYTON,OH,45401,,,Professional,,9559 RIVER CIR,,DAYTON,,,2026-05-01,,,,,,,,,,,,,,,,,,,
SAPA,3,SAPA Radiology Location 3,SAPA03,1174537131,1888 CHURCH BLVD,,DALLAS,TX,75201,(817)597-0309,,Professional,,,,DALLAS,,,2026-05-01,8175970309,,,,,,,,,,,,,,,,,,
CRC,4,CRC Radiology Location 4,CRC04,1376735277,5778 LAKE LN,,COLUMBUS,OH,43201,,,Facility,,,,,,43201,2026-05-01,,,,,,,,,,,,,,,,,,,
NRAA,5,NRAA Radiology Location 5,NRAA05,1707539632,9487 ELM DR,,MOUNT JULIET,TN,37122,,,Professional,,9487 ELM DR,,,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
PMR,2,PMR Radiology Location 2,PMR02,,5056 AMANA CIR,,KNOXVILLE,TN,37902,,(931)289-7359,Global,,,,,,,2026-05-01,,9312897359,,,,,,,,,,,,,,,,,
RADG,2,RADG Radiology Location 2,RADG02,,6991 ELM CT,,FRANKLIN,TN,37064,(931)897-6833,,Global,,,,,,37064,2026-05-01,9318976833,,,,,,,,,,,,,,,,,,
GSIA,2,GSIA Radiology Location 2,GSIA02,1071862165,9872 ELM DR,,HOUSTON,TX,77001,,,Global,,,,,TX,77001,2026-05-01,,,,,,,,,,,,,,,,,,,
RADK,7,RADK Radiology Location 7,RADK07,1203529228,2291 CHURCH WAY,,ATHENS,GA,30601,(678)796-9726,,Facility,367670,,,ATHENS,,,2026-05-01,6787969726,,,,,,,,,,,,,,,,,,
WRAD,4,WRAD Radiology Location 4,WRAD04,,2443 SPRING RD,,CARSON CITY,NV,89701,,,Professional,,,,CARSON CITY,NV,89701,2026-05-01,,,,,,,,,,,,,,,,,,,
ACRB,6,ACRB Radiology Location 6,ACRB06,1322463318,8298 AMANA CT,,CINCINNATI,OH,45201,(216)965-5771,,Professional,548624,,,CINCINNATI,,45201,2026-05-01,2169655771,,,,,,,,,,,,,,,,,,
GSIA,3,GSIA Radiology Location 3,GSIA03,1345279192,675 MAIN LN,,AUSTIN,TX,78701,(210)351-3927,,Global,,,,,,78701,2026-05-01,2103513927,,,,,,,,,,,,,,,,,,
RADF,4,RADF Radiology Location 4,RADF04,,5592 RIVER BLVD,,LAS VEGAS,NV,89101,(702)787-2131,,Global,,5592 RIVER BLVD,,LAS VEGAS,,,2026-05-01,7027872131,,,,,,,,,,,,,,,,,,
TRI,3,TRI Radiology Location 3,TRI03,1373383542,598 CHURCH ST,,NASHVILLE,TN,37201,,,Professional,,598 CHURCH ST,,NASHVILLE,,37201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADZ,6,RADZ Radiology Location 6,RADZ06,1931742083,9021 SPRING ST,,TAMPA,FL,33601,,,Professional,,,,TAMPA,FL,33601,2026-05-01,,,,,,,,,,,,,,,,,,,
RADI2,4,RADI2 Radiology Location 4,RADI204,1780612233,2843 SCHOOL DR,APT 329,DAYTON,OH,45401,,,Professional,,2843 SCHOOL DR,,,,45401,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,12,RADU Radiology Location 12,RADU12,1368093270,2229 CEDAR ST,,FORT LAUDERDALE,FL,33301,,(407)929-7641,Facility,,2229 CEDAR ST,,FORT LAUDERDALE,FL,,2026-05-01,,4079297641,,,,,,,,,,,,,,,,,
PMR,3,PMR Radiology Location 3,PMR03,,9584 AMANA RD,,NASHVILLE,TN,37201,,,Professional,,,,,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADE,5,RADE Radiology Location 5,RADE05,1499280256,3264 SPRING AVE,,ORLANDO,FL,32801,,,Professional,,,,ORLANDO,FL,32801,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS2,6,RADS2 Radiology Location 6,RADS206,,2556 HILL WAY,,SAN ANTONIO,TX,78201,(817)279-9614,(817)501-7789,Global,,2556 HILL WAY,,SAN ANTONIO,TX,78201,2026-05-01,8172799614,8175017789,,,,,,,,,,,,,,,,,
SAPA,4,SAPA Radiology Location 4,SAPA04,1354989705,9296 OAK ST,,PLANO,TX,75023,,,Professional,,,,,TX,75023,2026-05-01,,,,,,,,,,,,,,,,,,,
RADL,4,RADL Radiology Location 4,RADL04,,6559 SCHOOL ST,,MOUNT JULIET,TN,37122,,(931)654-7727,Professional,,6559 SCHOOL ST,,,,37122,2026-05-01,,9316547727,,,,,,,,,,,,,,,,,
RADS2,7,RADS2 Radiology Location 7,RADS207,1921196883,8056 PINE CT,,SAN ANTONIO,TX,78201,,,Professional,,8056 PINE CT,,SAN ANTONIO,TX,78201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADR,5,RADR Radiology Location 5,RADR05,,9599 CEDAR AVE,APT 450,KNOXVILLE,TN,37902,,,Professional,,9599 CEDAR AVE,,KNOXVILLE,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADB,5,RADB Radiology Location 5,RADB05,,2491 LAKE WAY,,DALLAS,TX,75201,(817)773-2981,,Facility,405406,2491 LAKE WAY,,DALLAS,TX,75201,2026-05-01,8177732981,,,,,,,,,,,,,,,,,,
RADJ,7,RADJ Radiology Location 7,RADJ07,1911051926,1855 LAKE AVE,,FORT LAUDERDALE,FL,33301,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADB,6,RADB Radiology Location 6,RADB06,1574820730,8076 CEDAR PL,,FORT WORTH,TX,76101,,,Professional,,,,FORT WORTH,TX,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADE,6,RADE Radiology Location 6,RADE06,1665184559,6576 SCHOOL RD,,ST PETE,FL,33701,(407)488-1068,,Professional,314906,,,ST PETE,FL,33701,2026-05-01,4074881068,,,,,,,,,,,,,,,,,,
GSIA,4,GSIA Radiology Location 4,GSIA04,1393301883,1741 SCHOOL PL,,PLANO,TX,75023,,,Global,,1741 SCHOOL PL,,,,75023,2026-05-01,,,,,,,,,,,,,,,,,,,
RADH,4,RADH Radiology Location 4,RADH04,,8030 SPRING DR,,DALLAS,TX,75201,,,Outpatient,,8030 SPRING DR,,DALLAS,,,2026-05-01,,,129.0,4.26,5.0,6.0,6.0,12.0,30.0,75.0,2026-04-08,2025-05-27,93.0,0.0,0.0,0.0,0.0,4.65,9.3
RADZ,7,RADZ Radiology Location 7,RADZ07,,8938 AMANA DR,,ORLANDO,FL,32801,,,Professional,,8938 AMANA DR,,,FL,,2026-05-01,,,,,,,,,,,,,,,,,,,
IAI,5,IAI Radiology Location 5,IAI05,,7670 SCHOOL BLVD,,DALLAS,TX,75201,,,Professional,,,,DALLAS,TX,75201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADZ,8,RADZ Radiology Location 8,RADZ08,1652787223,7013 HILL WAY,,TAMPA,FL,33601,,,Facility,,7013 HILL WAY,,TAMPA,,33601,2026-05-01,,,,,,,,,,,,,,,,,,,
MRB,5,MRB Radiology Location 5,MRB05,,2266 AMANA ST,,NASHVILLE,TN,37201,,,Professional,,2266 AMANA ST,,,,37201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADF,5,RADF Radiology Location 5,RADF05,1385414230,2463 RIVER CT,APT 270,RENO,NV,89501,(775)260-1115,(775)846-4864,Global,,2463 RIVER CT,,RENO,NV,,2026-05-01,7752601115,7758464864,,,,,,,,,,,,,,,,,
RADO,6,RADO Radiology Location 6,RADO06,,6126 MAIN LN,,JACKSONVILLE,FL,32099,(904)463-0238,,Professional,,6126 MAIN LN,,,,32099,2026-05-01,9044630238,,,,,,,,,,,,,,,,,,
RADZ,9,RADZ Radiology Location 9,RADZ09,,2896 CHURCH RD,,MIAMI,FL,33101,(561)687-7412,(561)243-2434,Outpatient,,,,MIAMI,FL,,2026-05-01,5616877412,5612432434,,,,,,,,,,,,,,,,,
RADO,7,RADO Radiology Location 7,RADO07,1683844683,4566 PARK LN,,FORT LAUDERDALE,FL,33301,,,Professional,,,,,,33301,2026-05-01,,,,,,,,,,,,,,,,,,,
RADF,6,RADF Radiology Location 6,RADF06,,8870 PINE RD,,LAS VEGAS,NV,89101,,,Professional,442211,8870 PINE RD,,,NV,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADU,13,RADU Radiology Location 13,RADU13,,4202 RIVER RD,,JACKSONVILLE,FL,32099,,,Global,,4202 RIVER RD,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADR,6,RADR Radiology Location 6,RADR06,1401306334,1272 AMANA AVE,,NASHVILLE,TN,37201,,,Professional,,,,,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
SAPA,5,SAPA Radiology Location 5,SAPA05,1617660239,7099 OAK ST,APT 74,SAN ANTONIO,TX,78201,,(210)989-3584,Professional,,,,SAN ANTONIO,,78201,2026-05-01,,2109893584,,,,,,,,,,,,,,,,,
RADY,5,RADY Radiology Location 5,RADY05,1567811384,3852 RIVER WAY,APT 296,COLUMBUS,OH,43201,,,Global,,,,COLUMBUS,,43201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADH,5,RADH Radiology Location 5,RADH05,1603816608,7802 SPRING RD,,HOUSTON,TX,77001,(713)404-2794,,Professional,,,,HOUSTON,TX,77001,2026-05-01,7134042794,,,,,,,,,,,,,,,,,,
RADH,6,RADH Radiology Location 6,RADH06,,7891 HILL CT,,DALLAS,TX,75201,(210)208-9494,,Global,,,,,TX,75201,2026-05-01,2102089494,,,,,,,,,,,,,,,,,,
RADF,7,RADF Radiology Location 7,RADF07,1147946913,8764 AMANA ST,,HENDERSON,NV,89002,,,Professional,566090,8764 AMANA ST,,HENDERSON,,89002,2026-05-01,,,,,,,,,,,,,,,,,,,
MRB,6,MRB Radiology Location 6,MRB06,1283465549,2645 AMANA RD,,LEBANON,TN,37087,,,Professional,,2645 AMANA RD,,LEBANON,TN,37087,2026-05-01,,,,,,,,,,,,,,,,,,,
CIRPA,5,CIRPA Radiology Location 5,CIRPA05,,6158 AMANA ST,,JACKSONVILLE,FL,32099,,,Professional,,6158 AMANA ST,,JACKSONVILLE,FL,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADD,4,RADD Radiology Location 4,RADD04,1132779314,9145 PARK PL,,MACON,GA,31201,(678)802-3118,,Global,,,,MACON,GA,,2026-05-01,6788023118,,,,,,,,,,,,,,,,,,
MRB,7,MRB Radiology Location 7,MRB07,1488526395,3384 OAK CT,,MOUNT JULIET,TN,37122,(865)622-6611,,Facility,,,,,TN,,2026-05-01,8656226611,,,,,,,,,,,,,,,,,,
ACR,7,ACR Radiology Location 7,ACR07,,1215 PARK ST,,CLEVELAND,OH,44101,(937)887-7441,,Global,,,,CLEVELAND,OH,44101,2026-05-01,9378877441,,,,,,,,,,,,,,,,,,
RADR,7,RADR Radiology Location 7,RADR07,1379719325,149 ELM ST,,LEBANON,TN,37087,,,Outpatient,,149 ELM ST,,,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADK,8,RADK Radiology Location 8,RADK08,1461265711,8266 SUNSET DR,,ATHENS,GA,30601,,,Professional,,,,ATHENS,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADR,8,RADR Radiology Location 8,RADR08,,4155 SUNSET ST,,NASHVILLE,TN,37201,(423)255-3185,,Facility,,4155 SUNSET ST,,NASHVILLE,,,2026-05-01,4232553185,,,,,,,,,,,,,,,,,,
RADM,2,RADM Radiology Location 2,RADM02,1539529482,2325 OAK AVE,,SAN ANTONIO,TX,78201,,,Professional,,2325 OAK AVE,,SAN ANTONIO,TX,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADQ,5,RADQ Radiology Location 5,RADQ05,,569 PINE DR,,SPARKS,NV,89431,(702)377-1234,(702)356-3356,Global,,,,SPARKS,,89431,2026-05-01,7023771234,7023563356,,,,,,,,,,,,,,,,,
ACR,8,ACR Radiology Location 8,ACR08,1656448717,3087 RIVER AVE,,TOLEDO,OH,43601,,,Professional,,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADE,7,RADE Radiology Location 7,RADE07,1733048305,6865 MAPLE AVE,,JACKSONVILLE,FL,32099,,(561)631-8334,Professional,,6865 MAPLE AVE,,,FL,,2026-05-01,,5616318334,,,,,,,,,,,,,,,,,
MRB,8,MRB Radiology Location 8,MRB08,1063663589,259 ELM RD,APT 87,NASHVILLE,TN,37201,(423)711-5954,,Facility,,259 ELM RD,,,,,2026-05-01,4237115954,,,,,,,,,,,,,,,,,,
RADY,6,RADY Radiology Location 6,RADY06,,3383 MAIN DR,,AKRON,OH,44301,(937)296-3417,,Global,,,,,,44301,2026-05-01,9372963417,,,,,,,,,,,,,,,,,,
RADT,3,RADT Radiology Location 3,RADT03,1477997295,3042 SPRING WAY,,AKRON,OH,44301,,(330)790-4972,Professional,428210,,,,,,2026-05-01,,3307904972,,,,,,,,,,,,,,,,,
RADU,14,RADU Radiology Location 14,RADU14,,897 SPRING CT,,MIAMI,FL,33101,,,Global,,,,MIAMI,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADC,5,RADC Radiology Location 5,RADC05,1525001675,9323 PARK CT,APT 406,DAYTON,OH,45401,,,Professional,,,,DAYTON,OH,45401,2026-05-01,,,,,,,,,,,,,,,,,,,
RADG,3,RADG Radiology Location 3,RADG03,,1549 SCHOOL CT,,KNOXVILLE,TN,37902,,,Global,,,,KNOXVILLE,TN,,2026-05-01,,,,,,,,,,,,,,,,,,,
ACR,9,ACR Radiology Location 9,ACR09,1112123163,6515 CEDAR LN,,CLEVELAND,OH,44101,,,Outpatient,,,,CLEVELAND,OH,44101,2026-05-01,,,,,,,,,,,,,,,,,,,
MRB,9,MRB Radiology Location 9,MRB09,,7887 ELM ST,,NASHVILLE,TN,37201,(901)841-5253,,Outpatient,,,,,TN,,2026-05-01,9018415253,,,,,,,,,,,,,,,,,,
RADM,3,RADM Radiology Location 3,RADM03,1079316899,3156 ELM RD,,HOUSTON,TX,77001,,,Professional,,3156 ELM RD,,,TX,77001,2026-05-01,,,,,,,,,,,,,,,,,,,
ESR,6,ESR Radiology Location 6,ESR06,1179587148,1815 SUNSET WAY,,FORT LAUDERDALE,FL,33301,,,Professional,,,,,,33301,2026-05-01,,,,,,,,,,,,,,,,,,,
PMR,4,PMR Radiology Location 4,PMR04,,6321 MAPLE LN,,NASHVILLE,TN,37201,(423)782-9862,,Professional,,,,,,37201,2026-05-01,4237829862,,,,,,,,,,,,,,,,,,
RADC,6,RADC Radiology Location 6,RADC06,,4803 ELM LN,APT 128,COLUMBUS,OH,43201,,,Global,825324,4803 ELM LN,,COLUMBUS,,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS2,8,RADS2 Radiology Location 8,RADS208,,2005 CHURCH PL,,HOUSTON,TX,77001,,,Global,,,,HOUSTON,,,2026-05-01,,,,,,,,,,,,,,,,,,,
SAPA,6,SAPA Radiology Location 6,SAPA06,,767 SPRING LN,,DALLAS,TX,75201,,,Facility,,,,DALLAS,,,2026-05-01,,,,,,,,,,,,,,,,,,,
SMED,1,SMED Radiology Location 1,SMED01,1882513975,7016 HILL LN,,FORT WORTH,TX,76101,,,Professional,,,,,TX,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADB,7,RADB Radiology Location 7,RADB07,1346214454,6810 MAPLE WAY,,DALLAS,TX,75201,,,Global,,,,DALLAS,,75201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADD,5,RADD Radiology Location 5,RADD05,,219 MAPLE BLVD,,MACON,GA,31201,,(912)932-3174,Professional,698641,,,MACON,GA,31201,2026-05-01,,9129323174,,,,,,,,,,,,,,,,,
RADB,8,RADB Radiology Location 8,RADB08,1240621938,5272 LAKE ST,,DALLAS,TX,75201,,,Facility,,5272 LAKE ST,,DALLAS,,75201,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS,3,RADS Radiology Location 3,RADS03,1368983769,5281 HILL CIR,,MOUNT JULIET,TN,37122,,,Global,,,,,,37122,2026-05-01,,,,,,,,,,,,,,,,,,,
ACRB,7,ACRB Radiology Location 7,ACRB07,,7888 RIVER DR,,CLEVELAND,OH,44101,(937)287-7815,,Professional,,7888 RIVER DR,,CLEVELAND,OH,44101,2026-05-01,9372877815,,,,,,,,,,,,,,,,,,
WRAD,5,WRAD Radiology Location 5,WRAD05,1990203233,9022 SPRING LN,,HENDERSON,NV,89002,,,Global,,,,,NV,,2026-05-01,,,,,,,,,,,,,,,,,,,
SAPA,7,SAPA Radiology Location 7,SAPA07,1821640733,6822 RIVER CT,,PLANO,TX,75023,,,Outpatient,603317,6822 RIVER CT,,,TX,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADX,4,RADX Radiology Location 4,RADX04,1751323774,7915 CEDAR DR,,FORT WORTH,TX,76101,,,Outpatient,,7915 CEDAR DR,,,TX,,2026-05-01,,,,,,,,,,,,,,,,,,,
RADE,8,RADE Radiology Location 8,RADE08,,8085 SCHOOL LN,APT 454,ORLANDO,FL,32801,(904)264-9516,,Global,,8085 SCHOOL LN,,,,32801,2026-05-01,9042649516,,,,,,,,,,,,,,,,,,
RADN,4,RADN Radiology Location 4,RADN04,,9926 MAIN CIR,,DAYTON,OH,45401,(419)853-0855,,Professional,,9926 MAIN CIR,,,OH,45401,2026-05-01,4198530855,,,,,,,,,,,,,,,,,,
PMR,5,PMR Radiology Location 5,PMR05,,5713 CHURCH LN,,KNOXVILLE,TN,37902,(865)682-1360,(865)765-8136,Outpatient,,5713 CHURCH LN,,,TN,37902,2026-05-01,8656821360,8657658136,,,,,,,,,,,,,,,,,
RADA,6,RADA Radiology Location 6,RADA06,1380940347,5255 SUNSET PL,,KNOXVILLE,TN,37902,,,Global,,,,,,37902,2026-05-01,,,,,,,,,,,,,,,,,,,
RADS,4,RADS Radiology Location 4,RADS04,,3051 CHURCH WAY,,FRANKLIN,TN,37064,(901)442-8660,,Facility,,,,,TN,,2026-05-01,9014428660,,,,,,,,,,,,,,,,,,
GRH,5,GRH Radiology Location 5,GRH05,1344037167,8533 LAKE PL,,SAVANNAH,GA,31401,(678)433-9741,,Facility,,8533 LAKE PL,,,GA,,2026-05-01,6784339741,,,,,,,,,,,,,,,,,,
ACR,10,ACR Radiology Location 10,ACR10,1482907831,9735 ELM PL,,COLUMBUS,OH,43201,(216)445-4192,,Professional,,,,COLUMBUS,,43201,2026-05-01,2164454192,,,,,,,,,,,,,,,,,,
NRAA,6,NRAA Radiology Location 6,NRAA06,1401698774,829 MAIN CT,,KNOXVILLE,TN,37902,(901)932-1106,,Professional,,829 MAIN CT,,,TN,,2026-05-01,9019321106,,,,,,,,,,,,,,,,,,
NRA,3,NRA Radiology Location 3,NRA03,1882847502,539 HILL CIR,,MOUNT JULIET,TN,37122,,,Professional,494484,,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
NRA,4,NRA Radiology Location 4,NRA04,1615024381,2334 CEDAR WAY,,KNOXVILLE,TN,37902,(931)682-0453,,Professional,556035,,,,TN,37902,2026-05-01,9316820453,,,,,,,,,,,,,,,,,,
RADE,9,RADE Radiology Location 9,RADE09,1143089850,3478 PARK CT,,ST PETE,FL,33701,,(407)613-5035,Professional,,3478 PARK CT,,,FL,33701,2026-05-01,,4076135035,,,,,,,,,,,,,,,,,
RADD,6,RADD Radiology Location 6,RADD06,,6487 ELM CT,,ATLANTA,GA,30301,(770)241-4440,,Professional,,,,,,,2026-05-01,7702414440,,,,,,,,,,,,,,,,,,
RADK,9,RADK Radiology Location 9,RADK09,1417052882,3244 AMANA DR,,COLUMBUS,GA,31901,,(912)245-8325,Facility,,,,,,,2026-05-01,,9122458325,,,,,,,,,,,,,,,,,
MRB,10,MRB Radiology Location 10,MRB10,,5800 AMANA BLVD,,MOUNT JULIET,TN,37122,(901)827-3291,,Global,,5800 AMANA BLVD,,,,,2026-05-01,9018273291,,,,,,,,,,,,,,,,,,
RADP,1,RADP Radiology Location 1,RADP01,1605935485,996 MAPLE CT,,ATLANTA,GA,30301,,,Global,,996 MAPLE CT,,,,,2026-05-01,,,,,,,,,,,,,,,,,,,
